txn_id,date,description,credit,debit,account,comment,code
4182,2023-01-02,"Nykaa RAZORPAY RETAIL PG      BANGALORE",,45.68,expenses:personal,,
4183,2023-01-06,"AMZNPRIMESG MEMBERSHIP  SINGAPORE",,2.99,,,
4184,2023-01-15,"PARIS BAGUETTE - CHANGI SINGAPORE",,14.70,expenses:dine_out,,
4185,2023-01-15,"MCDONALD CM             SINGAPORE",,21.70,,,
4186,2023-01-15,"GRAB*A-4ETGROFW2GRR     SINGAPORE",,28.80,,,
4187,2023-01-15,"FINEST @ CLEMENTI MALL  SINGAPORE",,35.98,,,
4188,2023-01-15,"DELIVEROO               SINGAPORE",,24.40,,,
4189,2023-01-15,"AMMAN VEG TRADING PTE L SINGAPORE",,38.90,,,
4190,2023-01-17,"SP DIGITAL PTE. LTD.    SINGAPORE",,79.46,,,
4191,2023-01-17,"DELIVEROO               SINGAPORE",,38.00,,,
4192,2023-01-17,"COLD STORAGE - CLEMENTI SINGAPORE",,16.60,,,
4193,2023-01-18,"FINEST @ CLEMENTI MALL  SINGAPORE",,14.23,,,
4194,2023-01-19,"DELIVEROO               SINGAPORE",,24.40,,,
4195,2023-01-19,"BURNT CONES PTE LTD-111 SINGAPORE",,7.00,,,
4196,2023-01-20,"LA MENSA                SINGAPORE",,14.00,,,
4197,2023-01-20,"BJR-AJISEN@BG           SINGAPORE",,17.23,,,
4198,2023-01-20,"BILL PAYMENT     INB",1136.79,,assets:credit_card_payment,,
4199,2023-01-21,"DELIVEROO               SINGAPORE",,18.10,,,
4200,2023-01-22,"THE COFFEE ACADEMICS RC SINGAPORE",,74.30,,,
4201,2023-01-22,"GUARDIAN - FUNAN IT MAL SINGAPORE",,2.50,expenses:personal,,
4202,2023-01-22,"DIN TAI FUNG RC         SINGAPORE",,11.29,,,
4203,2023-01-22,"CPC FOOD SERVICES PTE L SINGAPORE",,13.10,expenses:dine_out,,
4204,2023-01-22,"CLIMB CENTRAL FUNAN 000 SINGAPORE",,106.92,,,
4205,2023-01-23,"OLD CHANG KEE SINGAPOR SINGAPORE",,1.80,,,
4206,2023-01-23,"FINEST @ CLEMENTI MALL  SINGAPORE",,26.92,,,
4207,2023-01-24,"OLLA COFFEE (CLEMENTI)  SINGAPORE",,34.65,,,
4208,2023-01-26,"SIGNATURE KOI SINGAPORE SINGAPORE",,5.40,expenses:dine_out,,
4209,2023-01-26,"MEXICAN FOOD CORP SV PT SINGAPORE",,29.30,,,
4210,2023-01-26,"MEXICAN FOOD CORP SV PT SINGAPORE",,17.50,,,
4211,2023-01-27,"SCOOP WHOLEFOODS JEM    SINGAPORE",,13.65,,,
4212,2023-01-27,"PENANG CULTURE- JEM     SINGAPORE",,33.74,expenses:dine_out,,
4213,2023-01-27,"IKEA JURONG             SINGAPORE",,51.10,,,
4214,2023-01-29,"OLD CHANG KEE SINGAPOR SINGAPORE",,1.80,,,
4215,2023-01-29,"FINEST @ CLEMENTI MALL  SINGAPORE",,42.03,,,
4216,2023-01-29,"FINEST @ CLEMENTI MALL  SINGAPORE",,3.95,,,
4217,2023-01-29,"ANNA'S                  SINGAPORE",,76.03,expenses:dine_out,,
4218,2023-01-30,"GRAB                    SINGAPORE",,10.00,,,
4219,2023-01-30,"BURNT CONES PTE LTD-111 SINGAPORE",,7.00,,,
4220,2023-01-31,"FINEST @ CLEMENTI MALL  SINGAPORE",,8.90,,,
4221,2023-01-31,"DELIVEROO               SINGAPORE",,16.98,,,
4222,2023-01-31,"AMMAN VEG TRADING PTE L SINGAPORE",,12.40,,,
