"txnidx","date","date2","status","code","description","comment","account","amount","commodity","credit","debit","posting-status","posting-comment"
"4299","2023-02-01","OLLA COFFEE (CLEMENTI)  SINGAPORE","","35.65",,"",""
"4300","2023-02-01","IKEA JURONG             SINGAPORE","","41.70",,"",""
"4301","2023-02-01","DELIVEROO               SINGAPORE","","18.40",,"",""
"4302","2023-02-02","FINEST @ CLEMENTI MALL  SINGAPORE","","5.00",,"",""
"4303","2023-02-03","WWW.THEBLACKHOLE.SG     SINGAPORE","","65.46","expenses:dine_out","",""
"4304","2023-02-03","DELIVEROO               SINGAPORE","","15.50",,"",""
"4305","2023-02-04","SHAW THEATRES - LIDO    SINGAPORE","","31.50",,"",""
"4306","2023-02-04","SHAW THEATRES - JCUBE   SINGAPORE","","5.50",,"",""
"4307","2023-02-05","TIONG BAHRU BAKERY PTE  SINGAPORE","","38.02",,"",""
"4308","2023-02-05","OLLA COFFEE (CLEMENTI)  SINGAPORE","","34.65",,"",""
"4309","2023-02-05","DELIVEROO               SINGAPORE","","32.90",,"",""
"4310","2023-02-05","CLIMB CENTRAL FUNAN 000 SINGAPORE","","69.12",,"",""
"4311","2023-02-06","AMZNPRIMESG MEMBERSHIP  SINGAPORE","","2.99",,"",""
"4312","2023-02-07","OLLA COFFEE (CLEMENTI)  SINGAPORE","","14.30",,"",""
"4313","2023-02-07","FINEST @ CLEMENTI MALL  SINGAPORE","","16.02",,"",""
"4314","2023-02-08","OLLA COFFEE (CLEMENTI)  SINGAPORE","","21.45",,"",""
"4315","2023-02-08","KINGSWAY MEDICAL PTE LT SINGAPORE","","136.00",,"",""
"4316","2023-02-09","DELIVEROO               SINGAPORE","","21.30",,"",""
"4317","2023-02-13","OLLA COFFEE (CLEMENTI)  SINGAPORE","","33.65",,"",""
"4318","2023-02-13","FINEST @ CLEMENTI MALL  SINGAPORE","","66.59",,"",""
"4319","2023-02-13","DELIVEROO               SINGAPORE","","17.10",,"",""
"4320","2023-02-16","OLLA COFFEE (CLEMENTI)  SINGAPORE","","21.45",,"",""
"4321","2023-02-16","GRAB                    SINGAPORE","","10.00",,"",""
"4322","2023-02-17","DELIVEROO               SINGAPORE","","25.20",,"",""
"4323","2023-02-18","GST","","4.00","expenses:credit_card_fee","",""
"4324","2023-02-18","DELIVEROO               SINGAPORE","","23.80",,"",""
"4325","2023-02-18","CARD ANNUAL FEE","","50.00",,"",""
"4326","2023-02-18","BILL PAYMENT     INB","1717.56","","assets:credit_card_payment","",""
"4327","2023-02-19","FINEST @ CLEMENTI MALL  SINGAPORE","","30.75",,"",""
"4328","2023-02-19","DELIVEROO               SINGAPORE","","28.40",,"",""
"4329","2023-02-19","DELIVEROO               SINGAPORE","","18.30",,"",""
"4330","2023-02-20","SP DIGITAL PTE. LTD.    SINGAPORE","","71.90",,"",""
"4331","2023-02-20","OVER EASY - FULLERTON   SINGAPORE","","66.53",,"",""
"4332","2023-02-21","OLLA COFFEE (CLEMENTI)  SINGAPORE","","34.10",,"",""
"4333","2023-02-22","SCOOT PTE LTD SCOOT PTE SINGAPORE","","503.47",,"trip:hyderabad",""
"4334","2023-02-22","FINEST @ CLEMENTI MALL  SINGAPORE","","12.42",,"",""
"4335","2023-02-22","DOUBLE SHOT COFFEE PTE  SINGAPORE","","3.90","expenses:dine_out","",""
"4336","2023-02-23","Hoho Korean SM INTERNATIONAL PTE LT SINGAPORE","","40.70",,"",""
"4337","2023-02-24","THE DAILY CUT TANJONG P SINGAPORE","","14.00",,"",""
"4338","2023-02-24","GRAB                    SINGAPORE","","10.00",,"",""
"4339","2023-02-24","GRAB                    SINGAPORE","","10.00",,"",""
"4340","2023-02-24","DELIVEROO               SINGAPORE","","15.50",,"",""
"4341","2023-02-25","DELIVEROO               SINGAPORE","","35.00",,"",""
"4342","2023-02-25","DELIVEROO               SINGAPORE","","23.30",,"",""
"4343","2023-02-26","ELEPHANT ROOM 000000021 SINGAPORE","","249.10",,"",""
"4344","2023-02-26","DELIVEROO               SINGAPORE","","32.60",,"",""
"4345","2023-02-28","FINEST @ CLEMENTI MALL  SINGAPORE","","14.63",,"",""
"4346","2023-02-28","CUISINE OF CM PTE LTD-1 SINGAPORE","","13.50",,"",""
