txn_id,date,description,credit,debit,account,comment,code
4379,2023-03-01,"GOMO MOBILE PLAN         SINGAPORE    SG",,6.00,,,
4380,2023-03-01,"iPad SMP-SWITCH+CLEMENTI MALL SINGAPORE    SG",,685.30,expenses:personal,,
4381,2023-03-01,"FINNET E-VISA            JAKARTA SELATID IDR 519,500 Rp. 519,500",,47.55,expenses:travel:visa,trip:bali,
4382,2023-03-01,"FINNET E-VISA            JAKARTA SELATID IDR 519,500 Rp. 519,500",,47.55,,trip:bali,
4383,2023-03-01,"WATSON'S                 SINGAPORE    SG",,4.51,,,
4384,2023-03-02,"SUBWAY - T1              SINGAPORE    SG",,8.10,,,
4385,2023-03-02,"CIRCLES.LIFE             SINGAPORE    SG",,29.45,,,
4386,2023-03-03,"OBSIDIAN.MD              OAKVILLE     CA USD 10.00 USD 10.00",,13.95,,,
4387,2023-03-04,"Grab                     Singapore    SG",,28.80,,,
4388,2023-03-04,"YANGYEOM - FOOD GLR      BADUNG - BALIID IDR 220,000 Rp. 220,000",,20.00,expenses:travel:food,trip:bali,
4389,2023-03-04,"Whsmith Ho 207959        Bali         ID",,42.55,expenses:travel:misc,trip:bali,
4389,2023-03-04,"Whsmith Ho 207959        Bali         ID",,0.42,expenses:travel:misc,trip:bali,
4390,2023-03-04,"K CLUB UBUD HO 111813    GIANYAR      ID",,22.14,expenses:travel:food,trip:bali,
4390,2023-03-04,"K CLUB UBUD HO 111813    GIANYAR      ID",,0.22,expenses:travel:food,trip:bali,
4391,2023-03-04,"K CLUB UBUD HO           GIANYAR      ID IDR 500,000 Rp. 500,000",,45.57,expenses:travel:food,trip:bali,
4392,2023-03-04,"K CLUB UBUD HO           GIANYAR      ID IDR 566,950 Rp. 566,950",,51.68,expenses:travel:food,trip:bali,
4393,2023-03-05,"Lazada                   Singapore    SG",,26.44,,,
4394,2023-03-05,"LAZADA SINGAPORE         SINGAPORE    SG",,13.89,,,
4395,2023-03-06,"Foodpanda Singapore      SINGAPORE    SG",,32.09,,,
4396,2023-03-07,"MYREPUBLIC LIMITED       SINGAPORE    SG",,10.10,,,
4397,2023-03-09,"Foodpanda Singapore      SINGAPORE    SG",,1.09,,,
4398,2023-03-10,"MIZNONSINGAPORE* ODDLE   SINGAPORE    SG",,21.60,,,
4399,2023-03-11,"WWW.WECINEMAS.COM.SG     SINGAPORE    SG",,17.50,,,
4400,2023-03-11,"ORDER.PLAC* NANDOSSING   SINGAPORE    SG",,19.90,,,
4401,2023-03-11,"LAZADA SINGAPORE (Paym   SINGAPORE    SG",,16.40,,,
4402,2023-03-11,"1PASSWORD* TRIAL OVER    TORONTO      CA USD 64.64 USD 64.64",,90.63,,,
4403,2023-03-13,"ALCHEMIST WORKS PTE LT   SINGAPORE    SG",,6.00,,,
4404,2023-03-13,"Foodpanda Singapore      SINGAPORE    SG",,27.34,,,
4405,2023-03-13,"SP SGPOMADES SETTLEM     SINGAPORE    SG",,52.50,,,
4406,2023-03-13,"READWISE                 HTTPSREADWISEUS USD 8.99 USD 8.99",,12.61,,,
4407,2023-03-14,"GOMO MOBILE PLAN         SINGAPORE    SG",,20.19,,,
4408,2023-03-15,"MYREPUBLIC BROADBAND P   SINGAPORE    SG",,60.56,,,
4409,2023-03-15,"GUARDIAN TANJONG PAGAR   SINGAPORE    SG XXXX-XXXX-XXXX-6389",,3.80,expenses:personal,,
4410,2023-03-16,"KOPITIAM @ LAU PA SAT    SINGAPORE    SG",,9.30,,,
