"txnidx","date","date2","status","code","description","comment","account","amount","commodity","credit","debit","posting-status","posting-comment"
"4545","2023-04-01","Settle splitwise","","91.26","expenses:others","","ITR"
"4546","2023-04-02","India expenses","800.00","","assets:transfers","","ICT"
"4546","2023-04-02","India expenses","","775.53","expenses:household:india","","ICT"
"4547","2023-04-06","TOP-UP TO PAYLAH! :","","17.70","expenses:dine_out","","ITR"
"4548","2023-04-08","I-BANK T-Bill BS23107V APPLN","","3000.00",,"","SGS"
"4549","2023-04-11","TOP-UP TO PAYLAH! :","","10.00","expenses:dine_out","","ITR"
"4550","2023-04-11","TOP-UP TO PAYLAH! :","","1.40","expenses:dine_out","","ITR"
"4551","2023-04-13","T-Bill BS23107V","56.10","",,"","SGR"
"4552","2023-04-14","TOP-UP TO PAYLAH! :","","6.50","expenses:dine_out","","ITR"
"4553","2023-04-18","TOP-UP TO PAYLAH! :","","10.00","expenses:dine_out","","ITR"
"4554","2023-04-19","TOP-UP TO PAYLAH! :","","11.80","expenses:dine_out","","ITR"
"4555","2023-04-20","TOP-UP TO PAYLAH! :","","20.00","expenses:dine_out","","ITR"
"4556","2023-04-21","TOP-UP TO PAYLAH! :","","7.00","expenses:dine_out","","ITR"
"4557","2023-04-22","TOP-UP TO PAYLAH! :","","7.90","expenses:dine_out","","ITR"
"4558","2023-04-23","ATM Withdrawal","","30.00",,"","AWL"
"4559","2023-04-28","ATM Withdrawal - Currency for Bangkok trip","","400.00",expenses:travel:cash,"trip:bangkok","AWL"
"4560","2023-04-30","Interest","0.28","",,"","INT","5636.09"
