"txnidx","date","date2","status","code","description","comment","account","amount","commodity","credit","debit","posting-status","posting-comment"
"4561","2023-04-02","India expenses","","800.00","assets:transfers","","ICT"
"4562","2023-04-05","GIRO - SALARY","800.00","",,"",""
"4563","2023-04-06","IBG GIRO","","656.55","expenses:tax","",""
"4564","2023-04-12","BONUS INTEREST","56.87","",,"",""
"4565","2023-04-12","BONUS INTEREST","94.78","",,"",""
"4566","2023-04-15","UNIT TRUST RV","","200.00",,"",""
"4567","2023-04-15","UNIT TRUST RV","","200.00",,"",""
"4568","2023-04-17","BCIP DR","","1000.00",,"",""
"4569","2023-04-21","BILL PAYMENT     INB","","2756.04",,"",""
"4570","2023-04-21","FAST PAYMENT","","3863.20","assets:credit_card_payment","",""
"4571","2023-04-25","BCIP CR","3.34","",,"",""
"4572","2023-04-27","GIRO - SALARY","11030.00","",,"",""
"4573","2023-04-27","Interest","3.04","",,"","","78528.35"
